1,"
		오늘도 수학학원을 줌으로 했다 오늘은 일찍 끝나서 기분이 너무 좋다
		  
"
2,"
		<진지한 여가>
특수한 지식, 지식, 경험을 통해 참여자가 경력을 쌓아가고 이를 표출함으로써 성취감을 느낄 수 있는 체계적인 활동. 돈과 시간을 투자해야 하는 경우가 많고, 몰입의 정도가 높다.

		  
"
3,"
		지구별 여행중 ,,,,
		  
"
4,"
		이 것도 인생의 한 부분...
		  
"
5,"
		청춘은 짧고 늙음은 길다.
		  
"
6,"
		2020년이 29일 남았다. 기말고사는 2주 남았다. 오늘(벌써 밤이니 내일?)부터 각성하고 휴대폰 사용 줄이고 건강한 삶 되찾는다!
		  
"
7,"
		<돈을 사랑해야 하는 이유>
대개 우리 고민의 95퍼센트는 돈으로 해결할 수 있다.
		  
"
8,"
		<나>
개인주의자, 자유주의자
		  
"
9,"
		우리집 모지리만 생각하면 가슴이 램프를 켠듯 따뜻해진다.
		  
"
10,"
		<사회>
서로 다른 별에서 온 외계인들이 북적이는 술집 같은 곳.
		  
"
11,"
		역시 인생은 혼자다
		  
"
12,"
		이제힘든거말할사람없다
		  
"
13,"
		세상에 비싸면서 안좋은 것은 흔하지만 싸면서 좋은 것은 드믈다.
		  
"
14,"
		<검사내전>을 읽고 있는데... 좋다.
이 책은 검사가 범죄자와 부대끼며 탐색한 인간본성의 기록이다.
		  
"
15,"
		돈을 앞에 두면 그 사람의 그릇이 보인다.
		  
"
16,"
		<은퇴후 30년을 어떻게 보낼 것인가. #1>
방문할/한 모든 공간을 ‘여행지’라 정의하고, 
여행자의 시선으로 공간을 조사하고 기록하기

말하자면 나의 행동이 느려지는 만큼 나의 시계도 느릿느릿 갈터이니, 여유로운 여행자의 시선으로 서울 혹은 세계 구석구석을 조사하고, 돌아보고, 기록하기.


		  
"
17,"
		응..
그 약속은 지켰다.
<잠은 집에서 자자.>
		  
"
18,"
		어떤 MMORPG 광고 카피는
<다시, 모험과 전쟁의 시대>

그러나 우린 다시, <광기의 시대>에 살고 있다네.
		  
"
19,"
		왜 상황를 겪어 보고서야
그 사람을 온전히 이해하게 되는 건지..
		  
"
20,"
		난 이미 ""보수주의자""가 되어버렸지만
국민의힘 니들을 차마 지지하진 못하겠다.

		  
"
21,"
		<책 버리기>
류시민을, 김어준을, 조국을 버려왔다.
이번 주에는 <태백산맥>과 <한강>을 버린다.

		  
"
22,"
		<문화의 힘>
이탈리아하면 소매치기가 떠올랐다가
이내 영화 ""시네마천국""이 떠오른다.
		  
"
23,"
		<서울>
세계에서 가장 살기 좋은 도시 8위.
1위는? 도쿄

		  
"
24,"
		제대후 복학하니 나만 빼고 친구들은 모두 어른이 됐다는 느낌.
요센...나만 늙는다는 느낌. 마음이.


		  
"
25,"
		전라도 사람이라는건 내 은근한 자부심이었으나
이젠 쪽팔림이다.
		  
"
26,"
		<실크로드소프트 윤정일 대표>
세상에는 가끔 천재가 있다.
		  
"
27,"
		한줄일기 버튼  submit이 되려나~ ,,, 
		  
"
28,"
		<바이든과 트럼프>
살아온 인생과 철학이 얼굴에 드러난다.
		  
"
29,"
		엔지니어는 기술을 기반으로 장비와 대화하는 직업이고, 컨설턴트는 기술을 가반으로 사람과 대화하는 직업. 
		  
"
