,index,word
0,0,영화
1,1,보다
2,2,하다
3,3,에
4,4,을
5,5,도
6,6,를
7,7,없다
8,8,이다
9,9,있다
10,10,좋다
11,11,너무
12,12,다
13,13,정말
14,14,재밌다
15,15,되다
16,16,만
17,17,적
18,18,진짜
19,19,같다
20,20,으로
21,21,로
22,22,아니다
23,23,않다
24,24,점
25,25,에서
26,26,만들다
27,27,나오다
28,28,과
29,29,평점
30,30,연기
31,31,최고
32,32,내
33,33,그
34,34,나
35,35,인
36,36,안
37,37,생각
38,38,못
39,39,스토리
40,40,왜
41,41,드라마
42,42,게
43,43,감동
44,44,사람
45,45,보고
46,46,이렇다
47,47,아깝다
48,48,말
49,49,고
50,50,더
51,51,때
52,52,ㅋㅋ
53,53,배우
54,54,와
55,55,감독
56,56,재미있다
57,57,그냥
58,58,거
59,59,요
60,60,재미
61,61,시간
62,62,내용
63,63,까지
64,64,중
65,65,주다
66,66,뭐
67,67,재미없다
68,68,자다
69,69,좀
70,70,하고
71,71,지루하다
72,72,쓰레기
73,73,네
74,74,가다
75,75,들다
76,76,모르다
77,77,그렇다
78,78,싶다
79,79,지
80,80,사랑
81,81,작품
82,82,알다
83,83,볼
84,84,다시
85,85,하나
86,86,마지막
87,87,잘
88,88,이건
89,89,저
90,90,정도
91,91,ㅠㅠ
92,92,오다
93,93,ㅋ
94,94,완전
95,95,많다
96,96,처음
97,97,ㅋㅋㅋ
98,98,장면
99,99,액션
100,100,주인공
101,101,이렇게
102,102,안되다
103,103,걸
104,104,차다
105,105,나다
106,106,최악
107,107,개
108,108,이야기
109,109,지금
110,110,돈
111,111,별로
112,112,ㅡㅡ
113,113,넘다
114,114,임
115,115,연출
116,116,느낌
117,117,끝
118,118,좋아하다
119,119,라
120,120,인데
121,121,듯
122,122,명작
123,123,년
124,124,기
125,125,역시
126,126,그리고
127,127,받다
128,128,많이
129,129,별
130,130,남다
131,131,이해
132,132,난
133,133,면
134,134,이런
135,135,괜찮다
136,136,분
137,137,라고
138,138,이영화
139,139,느끼다
140,140,버리다
141,141,때문
142,142,서
143,143,또
144,144,여자
145,145,이나
146,146,부터
147,147,성
148,148,아름답다
149,149,해주다
150,150,일
151,151,먹다
152,152,꼭
153,153,두
154,154,보기
155,155,에게
156,156,이고
157,157,짱
158,158,무슨
159,159,여
160,160,대
161,161,엔
162,162,기억
163,163,편
164,164,인생
165,165,결말
166,166,마음
167,167,ㅎㅎ
168,168,랑
169,169,전
170,170,야
171,171,영
172,172,보여주다
173,173,뻔하다
174,174,애
175,175,아쉽다
176,176,어떻다
177,177,끄다
178,178,님
179,179,수준
180,180,소재
181,181,어리다
182,182,무섭다
183,183,없이
184,184,재다
185,185,맞다
186,186,현실
187,187,한번
188,188,속
189,189,반전
190,190,제
191,191,웃기다
192,192,씨
193,193,매력
194,194,되어다
195,195,본
196,196,끝나다
197,197,전개
198,198,가슴
199,199,급
200,200,라는
201,201,남자
202,202,한국
203,203,가장
204,204,슬프다
205,205,말다
206,206,낮다
207,207,아이
208,208,뿐
209,209,높다
210,210,죽다
211,211,멋지다
212,212,nan
213,213,알
214,214,니
215,215,유치하다
216,216,다른
217,217,음악
218,218,크다
219,219,인간
220,220,냐
221,221,화
222,222,줄
223,223,솔직하다
224,224,원작
225,225,추천
226,226,눈물
227,227,우리
228,228,쓰다
229,229,번
230,230,함
231,231,늘다
232,232,살다
233,233,모든
234,234,자체
235,235,인지
236,236,내다
237,237,지만
238,238,야하다
239,239,허다
240,240,하지만
241,241,눈
242,242,찍다
243,243,인가
244,244,캐릭터
245,245,코미디
246,246,모두
247,247,대한
248,248,처럼
249,249,대박
250,250,ㅋㅋㅋㅋ
251,251,보이다
252,252,뭔가
253,253,ㅠ
254,254,돼다
255,255,연기력
256,256,짜증나다
257,257,이상
258,258,이쁘다
259,259,건지다
260,260,이네
261,261,그래도
262,262,기대하다
263,263,모습
264,264,미치다
265,265,시리즈
266,266,여운
267,267,움
268,268,개봉
269,269,전혀
270,270,지다
271,271,기대
272,272,중간
273,273,공감
274,274,표현
275,275,에는
276,276,일본
277,277,계속
278,278,굿
279,279,부분
280,280,치다
281,281,근데
282,282,아주
283,283,영상
284,284,실망
285,285,이라
286,286,ㅜㅜ
287,287,시키다
288,288,작
289,289,이랑
290,290,제목
291,291,자
292,292,가족
293,293,진심
294,294,보지
295,295,내내
296,296,뭔
297,297,귀엽다
298,298,이제
